id,sessiondate,sessiontime,procedure,stage,visresp,visrt,confresp,confrt,trial
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,583,3,1552,7
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,1,767,,,8
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,1362,3,1004,9
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,1,528,3,1195,10
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,881,3,750,11
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,2,781,1,877,12
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,1,1184,2,928,13
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,1249,3,591,14
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,900,3,528,15
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,1,696,1,764,16
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,1,803,1,595,17
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,664,2,1101,18
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,991,3,1415,19
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,1,717,2,1152,20
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,1102,3,737,21
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,2,809,3,553,22
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,1223,3,470,23
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,2,809,2,1048,24
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,972,3,933,25
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,1,861,2,1130,26
204,3/6/2012,12:37:40,CSminus,ReversalOpp,1,811,3,603,27
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,2,648,1,1150,28
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,2,1269,1,963,29
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,722,2,1221,30
204,3/6/2012,12:37:40,CSminus,ReversalOpp,2,785,2,945,31
204,3/6/2012,12:37:40,CSplusUS,ReversalOpp,2,761,3,459,32
204,3/6/2012,12:37:40,ThankYou,ReversalOpp,2,7531,,,33
242,5/1/2012,15:37:07,Practice1,List2,,,,,-4
242,5/1/2012,15:37:07,Practice1,List2,,,,,-3
242,5/1/2012,15:37:07,Practice1,List2,,,,,-2
242,5/1/2012,15:37:07,Practice1,List2,2,1663,2,1997,-1
242,5/1/2012,15:37:07,PracticeOver,List2,,,,,0
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,1098,,,1
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,783,3,976,2
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,646,3,669,3
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,1887,3,980,4
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,921,3,1092,5
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,927,3,1386,6
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,615,3,1166,7
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,885,3,865,8
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,1196,3,556,9
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,875,3,1144,10
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,848,3,718,11
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,679,3,684,12
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,1116,3,448,13
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,844,3,731,14
242,5/1/2012,15:37:07,CSplusUSRev,Acquisition,2,955,3,515,15
242,5/1/2012,15:37:07,CSminusRev,Acquisition,2,1068,3,417,16
242,5/1/2012,15:37:07,CSminus,Reversal,2,719,3,817,17
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,758,3,695,18
242,5/1/2012,15:37:07,CSminus,Reversal,2,897,3,658,19
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,856,3,1141,20
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,740,3,1015,21
242,5/1/2012,15:37:07,CSminus,Reversal,2,844,3,586,22
242,5/1/2012,15:37:07,CSminus,Reversal,2,768,3,833,23
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,780,3,861,24
242,5/1/2012,15:37:07,CSminus,Reversal,2,1048,3,702,25
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,936,3,674,26
242,5/1/2012,15:37:07,CSminus,Reversal,2,788,3,772,27
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,835,3,1169,28
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,806,3,710,29
242,5/1/2012,15:37:07,CSminus,Reversal,2,1127,3,618,30
242,5/1/2012,15:37:07,CSminus,Reversal,2,886,3,707,31
242,5/1/2012,15:37:07,CSplusUS,Reversal,2,731,3,878,32
242,5/1/2012,15:37:07,ThankYou,Reversal,2,4774,,,33
524,2/24/2012,11:42:05,Practice1,List2,,,,,-4
524,2/24/2012,11:42:05,Practice1,List2,,,2,99,-3
524,2/24/2012,11:42:05,Practice1,List2,1,860,1,1273,-2
524,2/24/2012,11:42:05,Practice1,List2,2,1547,1,1149,-1
524,2/24/2012,11:42:05,PracticeOver,List2,,,,,0
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,647,,,1
524,2/24/2012,11:42:05,CSminus,Acquisition,1,755,1,1652,2
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,1719,1,1218,3
524,2/24/2012,11:42:05,CSminus,Acquisition,1,823,1,1350,4
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,1077,1,1418,5
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,360,1,1449,6
524,2/24/2012,11:42:05,CSminus,Acquisition,1,596,1,1421,7
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,841,1,1687,8
524,2/24/2012,11:42:05,CSminus,Acquisition,1,825,1,1048,9
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,548,1,974,10
524,2/24/2012,11:42:05,CSminus,Acquisition,1,1188,1,836,11
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,521,1,1140,12
524,2/24/2012,11:42:05,CSminus,Acquisition,1,699,1,942,13
524,2/24/2012,11:42:05,CSminus,Acquisition,1,1126,1,825,14
524,2/24/2012,11:42:05,CSplusUS,Acquisition,1,429,1,1404,15
524,2/24/2012,11:42:05,CSminus,Acquisition,1,1025,1,888,16
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,441,1,1295,17
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,601,1,945,18
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,160,1,1129,19
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,642,1,873,20
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,458,1,840,21
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,835,1,946,22
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,593,1,793,23
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,383,1,975,24
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,549,1,1023,25
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,755,1,1125,26
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,868,1,1217,27
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,1318,1,1137,28
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,761,1,1034,29
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,1351,1,1056,30
524,2/24/2012,11:42:05,CSminusRev,Reversal,1,635,1,817,31
524,2/24/2012,11:42:05,CSplusUSRev,Reversal,1,502,1,898,32
524,2/24/2012,11:42:05,ThankYou,Reversal,2,7760,,,33
654,4/7/2012,12:36:59,Practice1,List2,,,,,-4
654,4/7/2012,12:36:59,Practice1,List2,1,1814,1,1438,-3
654,4/7/2012,12:36:59,Practice1,List2,,,1,121,-2
654,4/7/2012,12:36:59,Practice1,List2,1,1648,1,910,-1
654,4/7/2012,12:36:59,PracticeOver,List2,,,,,0
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,,,1,1780,1
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,,,1,567,2
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,,,1,453,3
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,1,1456,1,502,4
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,1,1086,,,5
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,,,2,5,6
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,1,1465,1,1166,7
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,2,1261,2,939,8
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,1,938,,,9
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,1,1018,2,689,10
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,1,1131,1,1198,11
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,2,475,1,824,12
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,2,1133,1,783,13
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,1,1277,1,1050,14
654,4/7/2012,12:36:59,CSplusUSRev,AcquisitionOpp,2,1190,1,1367,15
654,4/7/2012,12:36:59,CSminusRev,AcquisitionOpp,2,1116,1,640,16
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,1,1483,1,624,17
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,1540,1,663,18
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,1497,1,638,19
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,2,905,3,853,20
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,1015,3,590,21
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,1,1412,1,668,22
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,702,3,626,23
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,2,862,3,476,24
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,694,3,683,25
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,2,668,3,497,26
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,523,3,469,27
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,2,503,3,466,28
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,,,1,758,29
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,476,3,537,30
654,4/7/2012,12:36:59,CSminus,ReversalOpp,2,729,3,508,31
654,4/7/2012,12:36:59,CSplusUS,ReversalOpp,2,749,3,686,32
654,4/7/2012,12:36:59,ThankYou,ReversalOpp,1,4149,,,33
671,4/17/2012,15:56:03,Practice1,List2,1,1149,1,1231,-4
671,4/17/2012,15:56:03,Practice1,List2,1,1082,1,686,-3
671,4/17/2012,15:56:03,Practice1,List2,1,655,1,773,-2
671,4/17/2012,15:56:03,Practice1,List2,1,826,1,665,-1
671,4/17/2012,15:56:03,PracticeOver,List2,,,,,0
671,4/17/2012,15:56:03,CSminusRev,Acquisition,,,2,2,1
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,1367,3,1504,2
671,4/17/2012,15:56:03,CSminusRev,Acquisition,,,3,270,3
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,1656,3,837,4
671,4/17/2012,15:56:03,CSminusRev,Acquisition,2,689,3,1029,5
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,1680,3,989,6
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,1452,3,802,7
671,4/17/2012,15:56:03,CSminusRev,Acquisition,2,1015,3,702,8
671,4/17/2012,15:56:03,CSminusRev,Acquisition,2,911,3,1194,9
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,1192,3,841,10
671,4/17/2012,15:56:03,CSminusRev,Acquisition,2,1029,3,715,11
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,916,3,751,12
671,4/17/2012,15:56:03,CSminusRev,Acquisition,2,942,3,761,13
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,1447,3,653,14
671,4/17/2012,15:56:03,CSplusUSRev,Acquisition,2,872,3,1317,15
671,4/17/2012,15:56:03,CSminusRev,Acquisition,2,1414,3,686,16
671,4/17/2012,15:56:03,CSminus,Reversal,2,831,3,910,17
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,567,3,560,18
671,4/17/2012,15:56:03,CSminus,Reversal,2,1031,3,687,19
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,1032,3,544,20
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,694,3,586,21
671,4/17/2012,15:56:03,CSminus,Reversal,2,878,3,812,22
671,4/17/2012,15:56:03,CSminus,Reversal,2,716,3,749,23
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,791,3,886,24
671,4/17/2012,15:56:03,CSminus,Reversal,2,901,3,1091,25
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,603,3,691,26
671,4/17/2012,15:56:03,CSminus,Reversal,2,996,3,1453,27
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,857,3,630,28
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,937,3,627,29
671,4/17/2012,15:56:03,CSminus,Reversal,2,991,3,855,30
671,4/17/2012,15:56:03,CSminus,Reversal,2,1202,3,1170,31
671,4/17/2012,15:56:03,CSplusUS,Reversal,2,1305,3,789,32
671,4/17/2012,15:56:03,ThankYou,Reversal,1,11343,,,33
891,8/25/2011,14:11:40,Practice1,List2,,,,,-4
891,8/25/2011,14:11:40,Practice1,List2,,,1,211,-3
891,8/25/2011,14:11:40,Practice1,List2,1,1862,,,-2
891,8/25/2011,14:11:40,Practice1,List2,,,2,154,-1
891,8/25/2011,14:11:40,PracticeOver,List2,,,,,0
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,2,988,1,901,1
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,2,941,1,776,2
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,2,950,1,656,3
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,2,690,2,758,4
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,1,693,,,5
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,,,2,18,6
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,1,735,1,833,7
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,2,965,1,782,8
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,2,820,1,723,9
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,1,628,1,667,10
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,2,709,1,537,11
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,1,576,1,857,12
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,2,1371,1,709,13
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,1,638,1,676,14
891,8/25/2011,14:11:40,CSplusUSRev,AcquisitionOpp,2,662,1,603,15
891,8/25/2011,14:11:40,CSminusRev,AcquisitionOpp,1,545,1,955,16
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,2,698,1,910,17
891,8/25/2011,14:11:40,CSminus,ReversalOpp,1,999,1,815,18
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,547,1,509,19
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,702,1,610,20
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,518,1,657,21
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,2,572,2,629,22
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,465,2,541,23
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,638,2,644,24
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,535,2,609,25
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,718,1,513,26
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,482,1,814,27
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,779,1,492,28
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,701,1,338,29
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,321,1,627,30
891,8/25/2011,14:11:40,CSminus,ReversalOpp,1,735,1,593,31
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,2,576,1,632,32
891,8/25/2011,14:11:40,CSminus,ReversalOpp,1,573,1,709,33
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,622,1,596,34
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,539,1,453,35
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,607,1,807,36
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,1,620,1,675,37
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,933,1,847,38
891,8/25/2011,14:11:40,CSminus,ReversalOpp,2,851,1,865,39
891,8/25/2011,14:11:40,CSplusUS,ReversalOpp,2,859,1,1145,40
891,8/25/2011,14:11:40,ThankYou,ReversalOpp,,,,,41
999,9/9/2011,16:01:33,Practice1,List2,1,1709,1,1736,-4
999,9/9/2011,16:01:33,Practice1,List2,1,1279,1,1196,-3
999,9/9/2011,16:01:33,Practice1,List2,1,1082,1,1902,-2
999,9/9/2011,16:01:33,Practice1,List2,1,774,1,743,-1
999,9/9/2011,16:01:33,PracticeOver,List2,,,,,0
999,9/9/2011,16:01:33,CSminus,Acquisition,1,826,1,761,1
999,9/9/2011,16:01:33,CSplusUS,Acquisition,,,1,1416,2
999,9/9/2011,16:01:33,CSminus,Acquisition,1,1309,1,1561,3
999,9/9/2011,16:01:33,CSplusUS,Acquisition,,,,,4
999,9/9/2011,16:01:33,CSminus,Acquisition,1,998,1,734,5
999,9/9/2011,16:01:33,CSplusUS,Acquisition,,,3,150,6
999,9/9/2011,16:01:33,CSminus,Acquisition,,,1,405,7
999,9/9/2011,16:01:33,CSplusUS,Acquisition,,,1,777,8
999,9/9/2011,16:01:33,CSminus,Acquisition,1,992,1,696,9
999,9/9/2011,16:01:33,CSminus,Acquisition,1,1065,1,510,10
999,9/9/2011,16:01:33,CSplusUS,Acquisition,1,959,1,777,11
999,9/9/2011,16:01:33,CSplusUS,Acquisition,1,1072,1,1205,12
999,9/9/2011,16:01:33,CSminus,Acquisition,,,1,1417,13
999,9/9/2011,16:01:33,CSplusUS,Acquisition,1,743,1,1225,14
999,9/9/2011,16:01:33,CSplusUS,Acquisition,1,732,1,1471,15
999,9/9/2011,16:01:33,CSminus,Acquisition,1,666,1,814,16
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,811,1,907,17
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,636,1,755,18
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,2,394,1,841,19
999,9/9/2011,16:01:33,CSminusRev,Reversal,2,669,1,482,20
999,9/9/2011,16:01:33,CSminusRev,Reversal,2,708,1,360,21
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,2,718,1,385,22
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,831,1,846,23
999,9/9/2011,16:01:33,CSminusRev,Reversal,2,1449,1,479,24
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,2,489,1,405,25
999,9/9/2011,16:01:33,CSminusRev,Reversal,2,866,1,415,26
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,699,1,831,27
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,636,1,834,28
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,933,2,976,29
999,9/9/2011,16:01:33,CSminusRev,Reversal,,,1,554,30
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,768,,,31
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,679,2,556,32
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,699,,,33
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,463,2,541,34
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,222,2,324,35
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,692,2,424,36
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,461,2,330,37
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,1,506,2,949,38
999,9/9/2011,16:01:33,CSminusRev,Reversal,1,524,2,536,39
999,9/9/2011,16:01:33,CSplusUSRev,Reversal,2,1720,2,1379,40
999,9/9/2011,16:01:33,ThankYou,Reversal,1,5782,,,41
999,9/9/2011,16:01:33,CSminusRev,Reversal,,,,,42
1111,12/30/2011,16:04:54,Practice1,List2,,,,,-4
1111,12/30/2011,16:04:54,Practice1,List2,,,,,-3
1111,12/30/2011,16:04:54,Practice1,List2,1,1914,,,-2
1111,12/30/2011,16:04:54,Practice1,List2,1,1115,1,606,-1
1111,12/30/2011,16:04:54,PracticeOver,List2,,,,,0
1111,12/30/2011,16:04:54,CSminus,Acquisition,1,1051,1,529,1
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,1,1648,1,814,2
1111,12/30/2011,16:04:54,CSminus,Acquisition,1,1659,1,1225,3
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,,,3,1757,4
1111,12/30/2011,16:04:54,CSminus,Acquisition,1,861,1,1723,5
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,,,1,171,6
1111,12/30/2011,16:04:54,CSminus,Acquisition,1,1234,1,1855,7
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,1,659,1,1160,8
1111,12/30/2011,16:04:54,CSminus,Acquisition,2,879,1,700,9
1111,12/30/2011,16:04:54,CSminus,Acquisition,2,1885,1,1490,10
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,2,1484,,,11
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,,,2,87,12
1111,12/30/2011,16:04:54,CSminus,Acquisition,1,1527,1,1563,13
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,2,1378,1,1771,14
1111,12/30/2011,16:04:54,CSplusUS,Acquisition,2,1050,2,1231,15
1111,12/30/2011,16:04:54,CSminus,Acquisition,1,1164,2,1325,16
1111,12/30/2011,16:04:54,CSminusRev,Reversal,,,1,258,17
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,1132,2,1343,18
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,951,2,1313,19
1111,12/30/2011,16:04:54,CSminusRev,Reversal,1,569,2,434,20
1111,12/30/2011,16:04:54,CSminusRev,Reversal,1,783,2,1406,21
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,1675,,,22
1111,12/30/2011,16:04:54,CSminusRev,Reversal,,,1,273,23
1111,12/30/2011,16:04:54,CSminusRev,Reversal,1,1292,2,920,24
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,984,2,1760,25
1111,12/30/2011,16:04:54,CSminusRev,Reversal,1,792,2,568,26
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,1366,1,799,27
1111,12/30/2011,16:04:54,CSminusRev,Reversal,1,1421,1,900,28
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,1453,1,691,29
1111,12/30/2011,16:04:54,CSminusRev,Reversal,1,1276,1,873,30
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,588,1,436,31
1111,12/30/2011,16:04:54,CSplusUSRev,Reversal,2,647,1,365,32
1111,12/30/2011,16:04:54,ThankYou,Reversal,2,4506,,,33
1429,9/17/2011,16:56:08,Practice1,List2,,,1,539,-4
1429,9/17/2011,16:56:08,Practice1,List2,1,1501,3,1953,-3
1429,9/17/2011,16:56:08,Practice1,List2,,,1,1392,-2
1429,9/17/2011,16:56:08,Practice1,List2,1,1164,1,958,-1
1429,9/17/2011,16:56:08,PracticeOver,List2,,,,,0
1429,9/17/2011,16:56:08,CSminus,Acquisition,1,855,1,933,1
1429,9/17/2011,16:56:08,CSplusUS,Acquisition,1,1813,1,781,2
